'id_car_serie','id_car_model','id_car_generation','name','date_create','date_update','id_car_type'
'45569','1337','7352','4/4','1433619312','1434676878','1'
'45571','1356','6638','Hatchback 3-doors','1433619348','1568054841','1'
'45572','1451','6677','I500 wagon 5-doors','1433619576','1568054884','1'
'45573','1451','6677','Hatchback','1433619576','1568054884','1'
'45574','1451','6677','wagon 5-doors','1433619576','1568054884','1'
'45578','1842','6681','Double Cab pickup','1433620508','1568055032','1'
'45580','1902','6682','Minivan 5-doors','1433620574','1568055041','1'
'45581','1915','6683','Minivan','1433620642','1568055050','1'
'45582','1921','9071','Sedan','1433620649','1568055053','1'
'45583','1958','6684','wagon 5-doors','1433620750','1461888085','1'
'45589','2330','6689','Hatchback 5-doors','1433621701','1461881787','1'
'45590','19137','6690','Sedan','1433621763','1568055242','1'
'45591','19137','6690','Hatchback 5-doors','1433621763','1568055242','1'
'45592','19139','8976','Crossover','1433621848','1586465384','1'
'45593','19138','8977','Sedan','1433621849','1461889099','1'
'45594','19141','8979','Cabriolet','1433621853','1461889100','1'
'45595','19140','7580','SUV','1433621855','1568055242','1'
'45597','196','6692','Sedan','1434655916','1461884647','1'
'45598','295','6693','Sedan','1434656154','1568054489','1'
'45599','309','6694','Hatchback','1434656177','1568054493','1'
'45600','348','6695','Compactvan','1434656276','1461884949','1'
'45601','835','6696','Sedan','1434657441','1568054675','1'
'45602','835','6696','wagon','1434657441','1568054674','1'
'45604','1491','6697','Minivan','1434658997','1568054894','1'
'45606','1589','6699','Crossover','1434659231','1568054914','1'
'45608','2169','6705','Hatchback 5-doors','1434660564','1461881621','1'
'45610','2216','6707','Minivan','1434660678','1640043072','1'
'45611','2216','6708','Minivan','1434660678','1568055196','1'
'45613','19143','7578','Coupe','1434661174','1568055242','1'
'45614','19142','8975','Hatchback','1434661175','1568055242','1'
'45685','84','6710','Sedan','1436207335','1568054413','1'
'45686','84','6710','Avant wagon 5-doors','1436207335','1568054413','1'
'45687','267','9135','Cabriolet 2-doors','1436207772','1568054469','1'
'45688','282','6711','Hatchback','1436207804','1586393530','1'
'45689','348','6695','Van','1436207944','1505759184','1'
'45690','362','6712','Minivan','1436208002','1568054505','1'
'45691','574','6713','Hatchback','1436208492','1568054582','1'
'45692','642','6714','Minivan','1436208649','1461885512','1'
'45693','695','6715','SUV 5-doors','1436208774','1461885614','1'
'45695','705','6717','SUV 5-doors','1436208796','1461885624','1'
'45696','705','6718','SUV 5-doors','1436208796','1461885624','1'
'45697','855','6719','Crossover','1436209147','1586462384','1'
'45698','1029','6720','Crossover 5-doors','1436209572','1586463138','1'
'45699','20342','6721','Hatchback 5-doors','1436209947','1461879325','1'
'45701','1256','6723','Cooper wagon 5-doors','1436210090','1568054788','1'
'45702','1427','6724','Hatchback 5-doors','1436210489','1568054868','1'
'45703','1476','6725','Hatchback 5-doors','1436210606','1587990326','1'
'45704','1476','6725','Hatchback 3-doors','1436210606','1587990316','1'
'45705','1476','6726','Hatchback 5-doors','1436210606','1568054888','1'
'45706','1476','6726','Hatchback 3-doors','1436210606','1568054888','1'
'45707','1689','6643','Combi wagon','1436211131','1568054958','1'
'45708','2339','6727','Hatchback 5-doors','1436212382','1461881668','1'
'45709','2327','6728','Hatchback 5-doors','1436212466','1461881719','1'
'45711','19206','7555','Hatchback 5-doors','1436212733','1461881840','1'
'45714','19204','6731','SUV 5-doors','1436212858','1461881900','1'
'45715','19207','8980','Hatchback 5-doors','1436212859','1461889144','1'
'45716','19208','7582','XLV crossover 5-doors','1436212861','1639992595','1'
'45717','19209','7583','Sedan 4-doors','1436212863','1568055243','1'
'45719','19211','8981','SUV','1436212866','1568055243','1'
'45753','284','6732','SUV 5-doors','1437589780','1461884825','1'
'45754','1036','6733','Crossover','1437591623','1568054731','1'
'45755','1036','6734','Crossover','1437591623','1568054731','1'
'45756','1127','6735','Sedan','1437591848','1568054768','1'
'45757','1127','6735','wagon','1437591848','1568054768','1'
'45758','19234','6876','Sedan','1437594975','1568055243','1'
'45785','4','6737','Roadster','1439904548','1461884285','1'
'45786','12','6738','Coupe','1439904559','1568054402','1'
'45788','185','6740','Coupe','1439904882','1461884601','1'
'45790','198','6742','Coupe','1439904919','1461877152','1'
'45791','199','6743','wagon','1439904922','1568054437','1'
'45792','199','6743','Sedan','1439904922','1568054437','1'
'45793','199','6744','Sedan 2-doors','1439904922','1461884649','1'
'45794','199','6745','Sedan','1439904922','1461884649','1'
'45804','223','6750','Coupe','1439904970','1461884706','1'
'45805','223','6751','Coupe','1439904970','1568054461','1'
'45806','223','6751','Cabriolet','1439904970','1461884707','1'
'45807','223','6752','Coupe-Hardtop','1439904970','1461884707','1'
'45808','223','6753','Cabriolet','1439904970','1461884707','1'
'45809','223','6754','Cabriolet','1439904970','1461884707','1'
'45810','223','6755','Sedan Brougham','1439904970','1461884707','1'
'45811','223','6755','Cabriolet','1439904970','1461884707','1'
'45813','223','6757','Cabriolet','1439904971','1461884708','1'
'45814','225','6758','Sedan','1439904974','1461877156','1'
'45815','267','6759','Coupe','1439905051','1568054469','1'
'45816','267','6760','Coupe','1439905051','1568054470','1'
'45817','267','6760','Cabriolet','1439905051','1568054470','1'
'45818','280','6761','targa','1439905075','1568054478','1'
'45819','280','6762','Stingray targa','1439905075','1568054479','1'
'45820','280','9170','Coupe 2-doors','1439905075','1568054478','1'
'45821','280','6763','Rondine Coupe 2-doors','1439905075','1568054480','1'
'45822','280','6763','Stingray roadster','1439905076','1639988208','1'
'45823','280','6763','Roadster','1439905076','1640002106','1'
'45824','530','6764','Sedan','1439905570','1568054543','1'
'45825','530','6765','Sedan','1439905570','1568054543','1'
'45826','663','6766','wagon 5-doors','1439905827','1461885563','1'
'45827','667','6767','Coupe','1439905834','1568054606','1'
'45828','667','6768','Cabriolet','1439905834','1461885567','1'
'45829','696','6769','Pickup One-and-a-half cabin','1439905891','1461879123','1'
'45830','696','6769','Pickup Double cabin','1439905891','1461879123','1'
'45833','696','6770','Extended Cab pickup 2-doors','1439905891','1568054608','1'
'45834','753','5991','Coupe','1439906001','1568054643','1'
'45835','782','6771','Hatchback 5-doors','1439906062','1461885791','1'
'45836','1020','6772','Sedan','1439906594','1568054727','1'
'45837','1021','5912','F Sedan 4-doors','1439906596','1568054727','1'
'45838','1027','6774','SUV','1439906607','1568054729','1'
'45839','1038','6953','Coupe','1439906622','1461886282','1'
'45840','1046','6776','SUV 5-doors','1439906644','1461886287','1'
'45841','1141','6777','Pickup Double cabin','1439906958','1461879308','1'
'45842','1141','6778','Dual Cab pickup 4-doors','1439906958','1639990401','1'
'45844','1141','6779','Double Cab pickup 4-doors','1439906958','1639990404','1'
'45845','20349','9064','Coupe','1439907114','1462122497','1'
'45846','20364','6780','Sedan','1439907202','1461879392','1'
'45847','1306','6781','SUV','1439907395','1568054837','1'
'45848','1422','6782','Sedan','1439907618','1640031120','1'
'45849','1422','6783','Sedan','1439907618','1640031120','1'
'45850','1436','6784','Roadster','1439907641','1639991695','1'
'45851','1436','6785','Coupe','1439907641','1640032038','1'
'45852','1438','6786','Sedan','1439907645','1568054875','1'
'45853','1438','9656','Sedan','1439907645','1568054874','1'
'45854','1438','6786','Coupe','1439907645','1568054874','1'
'45855','1438','6786','Caravan wagon 3-doors','1439907645','1568054874','1'
'45856','1438','6786','Caravan wagon 5-doors','1439907645','1568054874','1'
'45857','1438','6788','Coupe','1439907645','1568054875','1'
'45858','1438','9656','Caravan wagon','1439907645','1568054874','1'
'45859','1438','1595','Sedan 2-doors','1439907646','1568054874','1'
'45860','1438','6788','Sedan','1439907646','1568054875','1'
'45861','1524','6789','Coupe','1439907813','1568054901','1'
'45863','1532','6791','Sedan','1439907824','1461887293','1'
'45864','1532','6792','Sedan-Hardtop','1439907824','1461887293','1'
